N,P,K,ph,Rainfall,Temperature,Humidity,Crop
85,37,39,6.364134968,224.6757231,24.52783742,82.73685569,Rice
98,53,38,5.01450727,270.4417274,20.26707606,81.63895217,Rice
88,54,44,6.149410611,233.1321372,25.7354293,83.88266234,Rice
95,55,42,5.950660556,193.3473987,26.79533926,82.1480873,Rice
99,57,35,5.960370061,272.2999056,26.75754171,81.17734011,Rice
95,39,36,5.561398642,285.2493645,23.86330467,83.15250801,Rice
60,43,44,7.416245107,298.4018471,21.01944696,82.95221726,Rice
63,44,41,5.583370042,257.0343554,24.17298839,83.7287574,Rice
62,42,36,6.430010215,248.7183228,22.78133816,82.06719137,Rice
64,45,43,5.534878156,209.9001977,25.62980105,83.52842314,Rice
83,60,36,6.903985986,200.834898,25.59704938,80.14509262,Rice
82,40,40,6.271478838,298.5601175,23.83067496,84.81360127,Rice
85,52,45,7.224285503,265.5355937,26.31355498,82.36698992,Rice
91,35,38,6.13428721,183.6793207,24.8972823,80.52586088,Rice
76,49,42,5.206373153,196.9560008,24.958779,84.47963372,Rice
74,39,38,7.782051313,233.0453455,23.24113501,84.59201843,Rice
79,43,39,7.062779015,210.8142087,21.66628296,80.70960551,Rice
88,55,45,7.730367824,253.7202781,24.63544858,80.41363018,Rice
60,36,43,5.286203711,219.9048349,23.43121862,83.06310136,Rice
76,60,39,6.766240045,208.5810155,20.0454142,80.3477562,Rice
93,56,42,7.382762603,195.0948311,23.85724032,82.22572988,Rice
65,60,43,5.658169482,227.3637009,21.97199397,81.89918197,Rice
95,52,36,5.543360238,286.5083725,26.22916897,83.83625819,Rice
75,38,39,6.215109715,283.9338466,23.44676801,84.79352417,Rice
74,54,38,7.120272972,217.3788583,25.65553461,83.47021081,Rice
91,36,45,5.950647577,267.9761948,24.44345477,82.45432595,Rice
71,46,40,7.236705436,191.9535738,20.2801937,82.1235421,Rice
99,55,35,6.501697816,277.9626192,21.7238313,80.2389895,Rice
72,40,38,7.592490617,245.1511304,20.41447029,82.20802629,Rice
83,58,45,5.875345751,245.6626799,25.75528612,83.51827127,Rice
93,58,38,6.932400225,279.5451717,20.61521424,83.77345559,Rice
70,36,42,6.946209881,202.3838319,21.84106875,80.72886384,Rice
76,47,42,5.739175027,263.6372176,20.08369642,83.29114712,Rice
99,41,36,6.738652179,182.5616319,24.45802087,82.74835604,Rice
99,54,37,5.594819626,198.6730942,21.14347496,80.33502926,Rice
86,59,35,6.946636369,243.5120414,25.78720567,82.11124033,Rice
69,46,41,5.012139669,263.1103304,23.64124821,80.28597873,Rice
91,56,37,6.363472208,269.5039162,23.43191632,80.56887849,Rice
61,52,41,6.880431223,204.8001847,24.97669518,83.891805,Rice
67,45,38,7.300410836,260.8875056,22.72791041,82.1706881,Rice
79,42,37,6.587918708,295.6094492,24.87300744,82.84022551,Rice
78,43,42,7.283736617,192.3197536,21.32376327,83.00320459,Rice
75,54,36,7.023936392,257.4914906,26.29465461,84.56919326,Rice
97,36,45,6.939083505,278.0791793,22.2286982,81.85872947,Rice
67,47,44,7.868474653,280.4044392,26.73072391,81.78596776,Rice
73,35,38,5.005306977,185.9461429,24.88921174,81.97927117,Rice
77,36,37,6.136131869,194.5766559,26.88444878,81.46033732,Rice
81,41,38,7.524080076,200.9133156,22.67846116,83.72874389,Rice
68,57,43,5.706943251,182.9043504,26.08867875,80.37979919,Rice
72,45,35,5.758506323,195.3574542,25.42977518,82.94682591,Rice
61,53,43,6.349606327,223.3671883,26.40323239,81.05635517,Rice
67,43,39,5.999969026,186.7536773,26.04371967,84.96907151,Rice
67,58,39,5.453592032,220.1156708,25.2827223,80.54372813,Rice
66,60,38,6.372576327,231.7364957,22.08576562,83.47038318,Rice
82,43,38,5.105588355,242.3170629,23.28617173,81.43321641,Rice
84,50,44,5.935344406,182.6549356,25.48591986,81.40633547,Rice
81,53,42,5.17782304,233.7034975,23.67575393,81.03569343,Rice
91,50,40,6.462391607,230.2242223,20.82477109,84.1341879,Rice
93,53,38,7.069172227,290.6793783,26.92995077,81.91411159,Rice
90,44,38,7.473134377,241.2013513,23.83509503,83.88387074,Rice
81,45,35,6.158376967,218.9163567,26.52872817,80.12267476,Rice
78,40,38,7.549873681,248.2256491,26.46428311,83.85642678,Rice
60,51,36,6.028321558,256.9964761,22.69657794,82.81088865,Rice
88,46,42,6.604993475,194.2651719,22.68319059,83.46358271,Rice
93,47,37,6.500343222,295.9248796,21.53346343,82.14004101,Rice
60,55,45,5.935745417,287.5766935,21.40865769,83.3293191,Rice
78,35,44,7.072655622,183.6222657,26.54348085,84.67353597,Rice
65,37,40,5.333322606,188.413665,23.35905428,83.59512273,Rice
71,54,16,5.749914421,87.75953857,22.61359953,63.69070564,Maize
61,44,17,6.931756558,102.2662445,26.10018422,71.57476937,Maize
80,43,16,6.657964753,66.71995467,23.55882094,71.59351368,Maize
73,58,21,6.596060648,60.65171481,19.97215954,57.68272924,Maize
61,38,20,5.970458434,65.43835393,18.47891261,62.69503871,Maize
68,41,16,6.158830619,102.0861694,21.77689322,57.80840636,Maize
93,41,17,6.047906679,105.4654703,25.6217169,66.50415474,Maize
89,60,19,5.913664501,78.06639649,25.19192419,66.6902901,Maize
76,44,17,5.855442401,65.27798457,20.41683147,62.5542482,Maize
67,60,25,5.750254943,109.2162279,24.92162194,66.78627406,Maize
70,44,19,5.852607099,94.29712821,23.31689124,73.4541537,Maize
90,49,21,6.472523287,74.05474936,24.84016732,68.3584573,Maize
62,52,16,6.967057762,63.87020584,22.27526694,58.84015925,Maize
92,44,16,6.082973754,94.76189431,18.87751445,65.76816093,Maize
66,54,21,5.919045532,72.12375573,25.19008683,60.2001687,Maize
63,58,22,6.204747653,63.72358154,18.25405352,55.28220433,Maize
70,47,17,6.600827017,104.1626147,24.6129118,70.4162444,Maize
61,41,17,6.021902237,76.68456006,25.1420613,65.26185135,Maize
66,53,19,6.033550195,65.49730729,23.09348056,60.1159381,Maize
74,55,19,6.28886807,84.23613484,18.05033737,62.89366992,Maize
77,57,21,6.550563823,79.74078719,24.9321581,73.80435276,Maize
99,50,15,5.573286437,88.07753741,18.14710054,71.09445342,Maize
74,56,22,6.829199275,80.97573281,18.28362235,66.65952796,Maize
83,45,21,5.716222912,79.7532896,18.83344471,58.75082029,Maize
100,48,16,5.54990242,74.51490791,25.71895816,67.22190688,Maize
79,51,16,6.586244581,96.46380213,25.33797709,68.49835977,Maize
94,39,18,5.893093135,102.8301942,23.89114571,57.48775781,Maize
75,49,15,5.918263801,102.4852929,21.53574127,71.50905983,Maize
78,48,22,5.588650585,70.43473609,23.08974909,63.10459626,Maize
87,54,20,6.576418207,108.8303762,25.61707368,63.4711755,Maize
87,35,25,6.178056304,65.88951188,21.44526922,63.1621551,Maize
63,43,19,6.641906353,90.988051,18.51816776,55.53128131,Maize
84,57,25,6.489040367,64.40866039,22.53510514,67.99257471,Maize
64,35,23,5.680361038,63.03843397,23.02038334,61.89472002,Maize
60,46,22,6.625404348,87.9298085,24.89364635,65.61418761,Maize
98,44,21,6.524478032,107.4931917,25.77175115,74.089114,Maize
75,56,18,5.696205468,60.95197486,19.39851734,62.35750641,Maize
86,55,21,6.803931519,109.7515385,21.54156232,59.64024162,Maize
98,35,18,6.252797548,91.76337172,23.79746068,74.82913698,Maize
76,57,18,6.092725883,94.26249353,18.9802729,74.52600826,Maize
99,56,17,6.234330356,71.07562236,24.10859207,73.13112261,Maize
60,44,23,5.722579819,76.72860067,24.7947077,70.04556743,Maize
74,48,17,6.430616465,69.21803098,21.63162756,60.27766379,Maize
89,60,17,5.983952675,101.7004306,25.37548751,57.21025565,Maize
69,51,23,6.80163854,106.6213157,22.21738222,72.85462807,Maize
96,46,22,6.499936446,66.29390357,20.58314011,69.00128641,Maize
61,60,15,6.265564338,91.26056654,24.87502824,68.74248334,Maize
74,58,18,6.727303282,109.024141,20.03728219,56.35606753,Maize
74,43,23,6.325235159,99.57981207,25.95263264,61.89082199,Maize
63,43,17,6.807487794,71.3195307,19.28889933,65.47050802,Maize
99,36,20,6.671085817,78.34604471,20.57981887,65.34583901,Maize
77,36,23,6.648725327,88.45361858,24.71417533,56.73426469,Maize
87,60,23,6.439071996,62.50351892,20.27317074,63.91281869,Maize
60,38,17,6.474476516,76.41312437,18.41932981,64.23580251,Maize
94,54,17,5.871647806,107.3198135,23.39128187,61.74427165,Maize
95,38,22,5.730617109,100.7689246,19.84939404,61.24500053,Maize
84,44,21,5.850439831,107.2681929,21.869274,61.91044947,Maize
77,58,19,5.791649933,101.5952794,22.8056033,56.50768935,Maize
66,44,20,6.740000688,80.72515943,19.0781471,69.02298571,Maize
63,35,16,6.272417541,83.73280082,22.02720976,65.35549924,Maize
79,45,20,5.715208817,89.9622014,23.80546189,59.24537979,Maize
72,60,25,5.773454729,88.10234397,18.52510753,69.0276233,Maize
67,51,24,5.584171461,64.77791424,23.50297882,61.32026065,Maize
86,36,24,5.787268394,73.33636055,26.54986394,72.89187265,Maize
76,48,18,5.77597783,83.21030571,19.29563411,69.63481219,Maize
75,53,18,6.864793607,103.651438,20.68899915,59.4375337,Maize
81,45,23,6.192360003,84.22969177,19.32666088,68.034493,Maize
73,45,21,6.636803223,96.59195302,24.60532218,73.58868502,Maize
71,35,24,5.826426917,67.96704792,22.27373646,59.52193158,Maize
96,54,22,6.960358276,83.20711308,25.70196694,61.33450447,Maize
99,39,18,6.11275104,87.85092352,19.20129357,68.30578978,Maize
62,48,20,6.708446922,95.71388473,21.70181447,60.47470519,Maize
86,37,16,5.561510732,67.61013737,20.51716779,59.21235483,Maize
94,50,19,5.873242491,97.59081274,23.30355338,73.62548442,Maize
76,39,24,6.995843776,64.23845455,24.2547451,55.64709899,Maize
77,52,17,5.714799723,75.82270467,24.86374934,65.7420046,Maize
74,39,23,6.78073637,88.17251033,22.6265115,65.77472881,Maize
81,49,20,5.513697923,104.2321615,18.04185513,60.61494304,Maize
63,42,21,5.798423908,67.10225139,23.26237612,72.33125523,Maize
99,38,21,6.352471866,67.72777298,22.88330922,71.59722446,Maize
90,52,25,6.822586546,103.2234212,25.97482359,69.36385721,Maize
68,40,19,6.655426355,107.2361366,26.14384005,66.20569924,Maize
60,57,24,6.121294041,75.03247667,18.66116213,61.55327249,Maize
71,52,18,5.790770203,78.16077693,25.10787449,55.97732754,Maize
61,59,17,6.47444292,105.0083144,23.33844615,59.24580604,Maize
88,38,15,6.455116637,62.49190812,25.08239719,65.92195844,Maize
65,60,22,6.606984086,107.9124111,25.36768364,72.52054555,Maize
78,37,22,6.330554389,74.52082026,25.34217103,63.31801994,Maize
78,58,15,6.528631266,62.91359494,25.00933355,67.816568,Maize
92,60,23,5.721667141,69.93293255,18.66746724,71.516474,Maize
79,59,17,6.644205485,108.5054416,20.37999665,63.73849998,Maize
91,55,15,6.376651091,78.96159541,18.09300227,72.61024172,Maize
76,51,18,6.247040422,79.84925393,26.16985907,71.96246617,Maize
87,48,25,6.656730008,93.62039175,18.65396672,61.37879671,Maize
71,60,22,6.2048017,85.75692395,26.07470121,59.37147589,Maize
90,57,24,6.158860284,82.34162918,18.92851916,72.80086137,Maize
67,35,22,6.385684214,108.7603001,23.30546753,63.24648023,Maize
60,54,19,6.417820493,70.23401597,18.74826712,62.49878458,Maize
83,58,23,6.381201909,65.50861389,19.74213321,59.66263104,Maize
83,57,19,6.877869005,98.73771338,25.73044432,70.74739256,Maize
40,72,77,7.485996067,88.55123143,17.02498456,16.98861173,ChickPea
23,72,84,6.920251378,79.92698081,19.02061277,17.13159126,ChickPea
39,58,85,5.996932037,68.54932919,17.88776475,15.40589717,ChickPea
22,72,85,6.391173589,88.51048983,18.86805647,15.65809214,ChickPea
36,67,77,7.152811172,79.26357665,18.36952567,19.56381041,ChickPea
32,73,81,5.988992796,92.68373702,20.45078582,15.40312102,ChickPea
58,70,84,6.231049028,74.6631118,20.6543203,16.60820843,ChickPea
59,70,84,7.550808267,82.61734721,17.3348681,18.74926979,ChickPea
42,62,75,7.010570541,81.84997529,18.17912258,18.90426935,ChickPea
28,74,81,8.753795334,81.98568791,18.01272266,18.30968112,ChickPea
58,66,79,8.718192847,93.55280105,20.99373558,19.33470387,ChickPea
43,66,79,7.976607593,74.58565097,19.46233971,15.22538951,ChickPea
58,63,81,6.515499549,78.96514709,19.81344531,14.69765308,ChickPea
23,62,85,8.490127142,80.7108745,18.97424756,19.5161216,ChickPea
27,62,77,6.576415562,70.18185181,18.19737048,14.71070537,ChickPea
28,72,84,6.481783043,71.58010169,18.72963144,19.18197264,ChickPea
50,56,76,7.966605025,73.50734019,20.99502153,19.8601304,ChickPea
39,71,84,8.140825437,82.52339655,20.28155898,16.39535215,ChickPea
25,78,76,7.228963452,66.96980581,17.48042641,15.7559405,ChickPea
31,70,77,6.492546046,90.46228334,20.88818675,14.32313811,ChickPea
26,80,83,7.528599957,71.31007253,17.08498521,16.14565756,ChickPea
25,68,77,7.701446446,85.74904898,20.09340593,15.11279612,ChickPea
31,78,76,8.519975748,89.31050665,17.57212145,14.99927489,ChickPea
60,68,83,6.620900869,85.52950164,19.12065218,18.43475844,ChickPea
59,62,83,8.104396058,72.94940441,18.57665902,19.22008229,ChickPea
22,67,78,6.204090835,72.32667516,17.16606398,14.42457525,ChickPea
36,65,80,6.051091339,74.87445574,18.2872007,16.67921616,ChickPea
59,60,84,7.690962338,94.70992037,19.03025305,18.66725565,ChickPea
54,77,85,7.829211144,83.74606679,17.1418614,17.0662427,ChickPea
43,68,81,6.761599706,78.92060234,17.47809436,17.93253975,ChickPea
28,76,82,6.654425315,83.75937135,20.56601874,14.25803981,ChickPea
42,79,85,6.129533877,76.57580954,17.22385224,15.82069268,ChickPea
32,60,83,8.829273328,91.76071648,19.69141713,19.44225438,ChickPea
22,78,76,8.621662982,76.32470713,17.84851658,19.09172907,ChickPea
31,79,75,8.204862075,89.73119396,18.8202251,16.1074793,ChickPea
28,58,81,6.18042747,93.35034262,17.47500984,16.54314829,ChickPea
57,58,77,7.978996755,81.20176515,18.72649425,17.58406365,ChickPea
49,55,78,7.863113671,81.70769297,18.65580107,16.17772668,ChickPea
46,76,77,6.967843048,83.74879344,18.2356751,19.68538502,ChickPea
54,61,77,6.206582193,77.5429424,18.81198127,15.21618225,ChickPea
38,60,76,8.868741443,77.92798682,18.65054116,17.80852431,ChickPea
59,55,79,8.766128654,82.2545577,20.36720401,16.89574311,ChickPea
36,76,75,8.736337905,70.52056697,18.38120357,16.63805158,ChickPea
57,68,81,8.081095263,72.78624223,17.17012591,17.30457712,ChickPea
35,66,81,6.138243973,85.24819851,19.37101121,15.77458129,ChickPea
35,64,78,7.496645259,85.37378769,17.92845928,14.27327988,ChickPea
52,60,79,8.380185271,75.6317566,19.45339934,18.23490739,ChickPea
27,76,83,6.289614016,89.61857826,19.12829388,14.92241479,ChickPea
57,60,84,6.586777189,75.49101167,19.1034283,17.26184541,ChickPea
52,68,78,6.89655198,86.05078037,17.48504075,16.96070581,ChickPea
43,79,79,7.806747656,80.25064637,19.40751744,18.98030507,ChickPea
44,74,85,7.150681303,78.26039559,20.18649426,19.63719995,ChickPea
24,55,78,6.64919573,75.57790384,17.30287885,15.15405941,ChickPea
29,77,75,7.778591618,72.9446671,17.50361137,15.48083156,ChickPea
20,60,78,6.358740355,90.7760707,18.17234999,14.70085967,ChickPea
56,67,78,8.255450758,77.81891424,17.57445618,16.71826572,ChickPea
37,66,85,6.456148474,78.06910795,20.93175255,18.91295403,ChickPea
49,71,76,6.613072145,85.57925437,19.71098332,17.63879418,ChickPea
59,69,80,8.165359297,69.40619137,19.07937684,17.86754927,ChickPea
20,79,77,7.64867466,76.32565249,18.54988627,16.02542689,ChickPea
24,56,85,6.545888558,80.6405403,18.19903647,17.41333199,ChickPea
51,72,75,7.104224797,80.1113384,18.88852533,14.99451145,ChickPea
57,73,85,7.358099622,91.94595352,18.49311205,14.72115044,ChickPea
22,64,82,6.4740245,87.51312796,19.48974337,17.17260319,ChickPea
52,73,79,7.840339389,94.00287214,17.25769499,18.74943955,ChickPea
29,75,75,7.064790365,88.4585692,19.62416326,18.71483156,ChickPea
44,59,78,7.599033472,84.78344008,20.67526473,19.85388984,ChickPea
41,69,82,6.715587232,68.97806542,20.02381489,16.63294455,ChickPea
52,56,85,6.81712422,88.68168643,20.1187446,14.44228303,ChickPea
34,76,80,7.985417393,65.23811143,20.65691793,15.84572566,ChickPea
42,74,83,7.545258424,65.78042032,19.2582557,14.2804191,ChickPea
34,71,79,7.728998197,74.63872762,17.927806,15.85622899,ChickPea
27,73,79,7.354973451,82.69766829,19.16288268,15.83500655,ChickPea
30,70,79,7.313122235,69.64449182,20.26942271,19.96978871,ChickPea
57,57,75,7.785039076,87.27444866,17.09104223,18.25142068,ChickPea
27,79,82,6.307004923,70.87150577,17.06579293,17.54024066,ChickPea
32,71,85,6.403982316,92.06630306,20.62767492,14.44008871,ChickPea
31,76,82,7.599279991,79.20509212,20.8248451,17.85057083,ChickPea
33,75,84,7.217018459,68.81405149,19.46210401,18.72831993,ChickPea
47,80,77,7.561108006,72.85017344,17.18248372,16.42891834,ChickPea
54,62,80,7.489545074,79.45758333,17.48911699,16.39055394,ChickPea
47,79,78,6.609696734,65.11365631,17.48395377,14.76014523,ChickPea
35,57,83,7.476800943,80.4986291,19.48316794,17.44534641,ChickPea
53,73,77,7.325451279,73.64476535,19.71359733,18.09665739,ChickPea
45,61,78,6.489389282,81.5284269,19.48649305,16.06240074,ChickPea
37,78,79,7.786366322,88.6810311,19.95264829,14.82633099,ChickPea
30,75,81,6.408437886,68.4951189,19.41789736,16.80472243,ChickPea
37,55,82,8.423873703,78.44910564,19.45591848,18.02235902,ChickPea
53,65,76,8.719960893,77.33795356,20.19137759,16.41998269,ChickPea
22,60,85,7.811997977,94.78189594,18.8392908,14.74071856,ChickPea
60,61,78,6.317153205,94.03659867,20.71219282,19.83643308,ChickPea
42,67,77,7.114405288,78.69707199,18.99424448,15.9362937,ChickPea
39,76,76,8.135900726,69.15759062,19.96837462,15.57324389,ChickPea
35,63,76,7.714153038,90.82097601,17.81564548,17.60756635,ChickPea
30,65,82,7.103798069,76.77888672,20.71424384,15.27824066,ChickPea
57,56,78,8.861479668,67.9545435,17.34150229,18.75626255,ChickPea
48,65,78,7.861128148,73.0926704,17.43732714,14.33847406,ChickPea
36,56,83,7.4526709,69.09512477,18.89780215,19.76182946,ChickPea
40,58,75,7.168096055,89.60982451,18.59190771,14.77959596,ChickPea
49,69,82,7.26311855,81.78710463,18.31561493,15.36143547,ChickPea
13,60,25,5.68597166,128.256862,17.13692774,20.59541693,KidneyBeans
25,70,16,5.759237003,106.3598183,19.63474332,18.90705639,KidneyBeans
31,55,22,5.873171894,109.225556,22.91350245,21.33953114,KidneyBeans
40,64,16,5.926676985,140.3717815,16.43340342,24.24045875,KidneyBeans
2,61,20,5.95561668,76.64128258,22.13974653,23.02251117,KidneyBeans
26,65,22,5.949949081,143.0984171,17.84806561,18.77621951,KidneyBeans
17,57,21,5.789214289,60.91974792,19.88394011,20.31564139,KidneyBeans
26,80,18,5.581021521,104.7783947,19.32509638,23.3334788,KidneyBeans
17,59,17,5.689858133,132.9801054,18.4167001,23.42829938,KidneyBeans
27,59,22,5.794158504,130.0608093,21.81167649,23.20591245,KidneyBeans
28,58,24,5.748190463,143.7630894,19.72702528,18.28173015,KidneyBeans
25,57,19,5.566522896,87.99669731,17.15432954,19.87070659,KidneyBeans
28,80,17,5.809419584,144.1567454,19.62207826,18.67170854,KidneyBeans
25,60,22,5.887263027,134.3649948,21.63149148,21.17919701,KidneyBeans
12,78,23,5.99812453,88.06638775,16.06522754,18.72479695,KidneyBeans
6,77,25,5.792744849,69.63833855,20.61162204,24.36314135,KidneyBeans
22,79,17,5.912289889,116.5206923,21.42451099,20.39659714,KidneyBeans
27,80,15,5.788386951,86.21917578,19.07096165,21.21092266,KidneyBeans
10,55,23,5.728233081,137.1948633,21.18853178,19.63438599,KidneyBeans
23,65,20,5.833940084,108.3684316,23.0429097,22.42610972,KidneyBeans
19,78,16,5.967533236,67.71768947,20.65375833,23.10538637,KidneyBeans
19,65,25,5.625096446,144.7902323,18.09551014,18.29318436,KidneyBeans
22,70,19,5.515615023,69.44951585,18.23775702,21.07643273,KidneyBeans
37,64,22,5.954665349,121.9401369,17.48189735,18.8251973,KidneyBeans
11,71,17,5.74644777,82.68554379,19.9191786,21.47324158,KidneyBeans
18,79,20,5.877347515,139.7521543,20.27514686,23.2353604,KidneyBeans
21,63,17,5.979973965,108.3441414,15.77370214,19.2303162,KidneyBeans
24,80,22,5.635993966,96.77285817,16.71170642,19.17651433,KidneyBeans
34,60,22,5.635231778,100.6711761,17.66148158,18.15302753,KidneyBeans
16,75,21,5.679224346,87.0513289,18.50692825,23.61670065,KidneyBeans
17,77,23,5.670062975,64.19497947,24.51324787,20.81527638,KidneyBeans
37,72,18,5.724242065,105.4120514,18.87614998,24.54038287,KidneyBeans
40,73,20,5.811314232,61.13872036,21.59343016,20.31871249,KidneyBeans
9,77,17,5.783425416,106.158201,20.12373284,24.45202552,KidneyBeans
1,62,23,5.607808432,139.0302034,15.43546065,18.37477907,KidneyBeans
33,59,22,5.946999529,122.3886015,22.64236876,21.59396123,KidneyBeans
23,59,19,5.852046999,129.5650601,21.98560799,24.87304788,KidneyBeans
6,62,22,5.824090984,120.4509288,20.53052663,18.09224048,KidneyBeans
25,63,20,5.502999119,95.17028129,15.78601387,21.14544088,KidneyBeans
7,79,23,5.821649914,96.65888933,19.6365349,19.68751084,KidneyBeans
8,72,17,5.711439256,87.87869161,20.57341244,19.7520218,KidneyBeans
27,64,15,5.514927264,138.2362122,20.16080524,24.84207559,KidneyBeans
28,66,23,5.99616119,120.6913038,21.53989176,24.25386207,KidneyBeans
32,57,18,5.695422863,107.3850593,15.53834801,23.75560241,KidneyBeans
27,56,22,5.833010958,108.6434544,19.91853092,20.70099804,KidneyBeans
17,77,24,5.568456899,109.0193712,20.76952209,18.93146941,KidneyBeans
0,65,15,5.645435626,95.84253438,23.46168338,23.22197648,KidneyBeans
13,72,21,5.821194486,60.27552528,24.32116642,21.0278674,KidneyBeans
34,60,23,5.659254981,100.0497183,20.12574053,24.96969858,KidneyBeans
9,80,19,5.945465949,125.0972687,21.80619564,18.57086554,KidneyBeans
11,72,20,5.951177452,113.334026,19.52226241,24.92607153,KidneyBeans
3,67,24,5.520880014,103.2926407,17.00067625,19.90790546,KidneyBeans
35,69,23,5.578410206,75.45328039,16.78791503,24.96881755,KidneyBeans
3,77,25,5.608165195,62.21292186,24.84906168,22.89464642,KidneyBeans
23,62,19,5.609435128,98.77794225,16.51783455,20.4555596,KidneyBeans
22,71,17,5.509295379,107.6907964,18.15300153,19.38602098,KidneyBeans
31,79,25,5.902033406,63.38208822,23.18864385,22.3104551,KidneyBeans
34,59,18,5.744117663,87.66898664,23.38002569,21.98879437,KidneyBeans
12,63,17,5.717143397,138.414764,18.358923,19.37703396,KidneyBeans
27,56,20,5.542690119,94.9533526,19.25975367,20.51346956,KidneyBeans
7,63,24,5.858617867,107.7315386,22.95458237,24.03553105,KidneyBeans
24,67,22,5.618844277,104.6252153,20.120043,22.89845607,KidneyBeans
11,71,24,5.606620346,141.6056722,21.14011423,22.7182355,KidneyBeans
37,74,15,5.582178402,62.7089169,24.92360104,18.22590825,KidneyBeans
25,76,24,5.56503533,135.3315583,15.33042636,24.91506728,KidneyBeans
34,66,17,5.889614577,125.084915,18.81097271,21.27833035,KidneyBeans
20,69,15,5.934136378,107.4137246,23.44260668,22.77255917,KidneyBeans
37,65,16,5.683548308,63.59276673,22.8352024,18.97267518,KidneyBeans
18,74,15,5.70836603,146.4727237,24.9035819,22.27512704,KidneyBeans
4,67,25,5.948164454,119.6404412,23.78709569,24.35679348,KidneyBeans
37,56,25,5.774755144,126.7265372,22.05592283,19.60379304,KidneyBeans
5,59,15,5.97229163,134.1811718,18.87492997,20.18238348,KidneyBeans
11,61,21,5.532100554,135.3378033,18.62328774,23.02410338,KidneyBeans
22,80,20,5.669560726,100.118612,23.00884744,18.86880997,KidneyBeans
12,61,19,5.655726817,68.51253427,19.33162606,24.13995025,KidneyBeans
5,74,21,5.591704014,66.97053257,16.24469193,21.35793891,KidneyBeans
27,69,22,5.932323085,69.14681022,17.91652287,24.90814655,KidneyBeans
31,75,18,5.824208309,88.88796102,15.46789263,21.43780702,KidneyBeans
36,68,20,5.86442953,81.83420522,17.06104474,23.77201471,KidneyBeans
5,65,16,5.866744372,109.1013261,21.32776028,18.48522915,KidneyBeans
32,79,15,5.706198621,81.60211243,23.90910104,20.74619325,KidneyBeans
11,78,22,5.940546818,112.6616435,23.89756791,22.74378977,KidneyBeans
0,55,22,5.916779289,143.8584938,22.98666928,20.57940608,KidneyBeans
14,59,15,5.779090476,146.4548645,21.35135729,22.91244883,KidneyBeans
29,68,23,5.82738029,116.7324324,24.1638445,19.27907819,KidneyBeans
32,68,19,5.514234138,149.7441028,24.62835037,18.18325169,KidneyBeans
17,64,17,5.662699104,124.6118471,21.02213209,24.93896255,KidneyBeans
13,69,19,5.86390397,115.199245,17.30844532,20.01730914,KidneyBeans
14,67,22,5.624690248,84.64143632,23.82576704,24.75485098,KidneyBeans
9,69,20,5.591560999,129.3449326,19.30607278,23.96362799,KidneyBeans
20,73,22,5.976312538,130.3900798,16.03768615,22.33195853,KidneyBeans
40,78,20,5.669236258,80.15293435,19.18572809,20.83398341,KidneyBeans
27,72,23,5.961934481,64.02640797,19.92889503,21.79992115,KidneyBeans
